"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_hotel_list","test","Thu Sep 11 16:21:36 UTC 2025","broken","Thu Sep 11 16:21:36 UTC 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","0","Hootel Login","test","Thu Sep 11 16:21:35 UTC 2025","broken","Thu Sep 11 16:21:35 UTC 2025","TestHootel","test_hootel","",""
