"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","0","Hootel Login","test","Sat Sep 13 13:58:11 UTC 2025","broken","Sat Sep 13 13:58:11 UTC 2025","TestHootel","test_hootel","",""
"","0","test_hotel_list","test","Sat Sep 13 13:58:15 UTC 2025","broken","Sat Sep 13 13:58:15 UTC 2025","TestHootel","test_hootel","",""
