"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_hotel_list","test","Sat Sep 13 13:54:19 UTC 2025","broken","Sat Sep 13 13:54:19 UTC 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1","Hootel Login","test","Sat Sep 13 13:54:17 UTC 2025","broken","Sat Sep 13 13:54:17 UTC 2025","TestHootel","test_hootel","",""
