"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","0","Hootel Login","test","Thu Sep 11 16:29:12 UTC 2025","broken","Thu Sep 11 16:29:12 UTC 2025","TestHootel","test_hootel","",""
"","0","test_hotel_list","test","Thu Sep 11 16:29:15 UTC 2025","broken","Thu Sep 11 16:29:15 UTC 2025","TestHootel","test_hootel","",""
